rounds,time
50,2.56
49,1.54
48,1.37
47,1.68
46,2.94
45,1.45
44,0.82
43,1.10
42,1.39
41,0.94
40,0.81
39,0.60
38,0.78
37,2.82
36,0.62
35,0.44
34,0.37
33,0.94
32,0.35
31,0.49
30,0.36
29,0.29
28,1.02
27,0.22
26,0.52
25,0.24
24,0.25
23,0.31
22,0.18
21,0.48
20,0.63
19,0.60
18,0.34
17,0.18
16,0.28
15,1.16
14,0.61
13,0.34
12,0.88
11,0.18
10,0.11
9,0.18
8,0.12
7,0.14
6,0.07
5,0.07
4,0.06
3,0.06
2,0.06
1,0.04
0,0.05
80,8.11
79,3.22
78,4.15
77,2.77
76,7.30
75,12.12
74,2.62
73,1.77
72,9.31
71,3.04
70,1.40
69,7.66
68,3.33
67,5.02
66,2.59
65,0.81
64,3.54
63,7.25
62,3.16
61,1.26
60,1.74
59,7.45
58,3.24
57,3.90
56,4.54
55,0.91
54,1.64
53,0.88
52,2.27
51,2.68
50,4.22
49,1.71
48,2.32
47,0.64
46,0.66
45,1.70
44,0.49
43,0.57
42,0.43
41,1.01
40,0.68
39,1.15
38,1.18
37,0.90
36,1.37
35,0.84
34,1.34
33,0.56
32,0.37
31,1.21
30,0.50
29,0.34
28,0.98
27,1.65
26,0.25
25,0.65
24,0.82
23,0.23
22,0.60
21,0.59
20,0.41
19,0.27
18,0.60
17,0.27
16,0.30
15,0.64
14,0.44
13,0.36
12,0.40
11,0.33
10,0.24
9,0.24
8,0.24
7,0.08
6,0.11
5,0.06
4,0.06
3,0.06
2,0.05
1,0.04
0,0.04
80,4.55
79,9.15
78,3.97
77,5.55
76,7.60
75,2.93
74,2.34
73,4.39
72,2.89
71,1.94
70,1.32
69,4.30
68,9.23
67,1.17
66,2.84
65,4.94
64,7.16
63,3.79
62,0.86
61,3.42
60,1.02
59,2.28
58,0.57
57,3.85
56,0.64
55,5.14
54,1.41
53,7.51
52,1.59
51,3.67
50,2.43
49,0.61
48,0.55
47,1.06
46,1.46
45,2.11
44,1.34
43,2.28
42,1.03
41,1.62
40,0.99
39,1.21
38,1.84
37,1.32
36,0.49
35,0.83
34,0.48
33,0.34
32,2.17
31,0.90
30,0.70
29,3.06
28,0.26
27,1.04
26,0.42
25,0.24
24,0.22
23,0.94
22,0.31
21,0.32
20,0.26
19,0.52
18,0.56
17,0.87
16,0.34
15,0.62
14,0.40
13,0.64
12,0.19
11,0.10
10,0.12
9,0.16
8,0.10
7,0.10
6,0.19
5,0.07
4,0.06
3,0.06
2,0.05
1,0.04
0,0.05
80,10.32
79,0.99
78,5.08
77,3.98
76,1.82
75,2.22
74,10.15
73,1.77
72,2.39
71,4.33
70,1.27
69,9.40
68,6.89
67,8.10
66,5.90
65,2.68
64,1.96
63,4.01
62,11.98
61,2.36
60,2.14
59,10.02
58,4.03
57,3.11
56,1.04
55,2.30
54,1.95
53,0.70
52,4.09
51,1.36
50,1.29
49,2.15
48,4.29
47,1.30
46,2.67
45,0.56
44,1.50
43,1.36
42,1.03
41,2.20
40,1.15
39,1.24
38,0.72
37,1.14
36,1.37
35,1.21
34,0.83
33,0.32
32,0.36
31,0.59
30,0.27
29,0.28
28,1.01
27,0.34
26,0.58
25,0.22
24,0.38
23,0.24
22,0.30
21,0.20
20,0.22
19,0.24
18,0.26
17,0.18
16,0.35
15,0.67
14,0.56
13,0.36
12,0.26
11,0.45
10,0.18
9,0.33
8,0.16
7,0.09
6,0.09
5,0.07
4,0.06
3,0.05
2,0.04
1,0.05
0,0.05
80,1.06
79,9.37
78,1.05
77,1.65
76,3.12
75,1.47
74,1.56
73,12.32
72,2.69
71,14.09
70,3.94
69,6.24
68,9.21
67,10.19
66,0.80
65,2.28
64,1.74
63,1.50
62,1.74
61,1.26
60,1.68
59,2.48
58,5.32
57,2.30
56,5.10
55,4.21
54,2.43
53,3.80
52,2.06
51,1.67
50,1.00
49,2.85
48,0.79
47,0.84
46,4.18
45,0.60
44,0.98
43,1.91
42,3.23
41,0.53
40,0.95
39,1.04
38,1.35
37,3.35
36,0.90
35,0.32
34,0.39
33,1.09
32,0.81
31,1.24
30,0.74
29,0.56
28,0.28
27,0.73
26,0.78
25,0.26
24,0.22
23,0.41
22,0.66
21,0.35
20,0.46
19,0.32
18,0.17
17,0.45
16,0.73
15,0.30
14,0.22
13,0.31
12,0.26
11,0.36
10,0.46
9,0.12
8,0.16
7,0.12
6,0.10
5,0.07
4,0.06
3,0.05
2,0.06
1,0.04
0,0.05
80,3.02
79,21.57
78,3.81
77,11.04
76,1.74
75,2.71
74,6.30
73,7.36
72,10.76
71,1.66
70,7.36
69,1.52
68,9.68
67,2.86
66,6.80
65,2.80
64,1.40
63,3.02
62,1.72
61,2.64
60,3.49
59,1.91
58,1.63
57,2.36
56,7.99
55,1.02
54,0.66
53,10.66
52,1.40
51,4.81
50,2.35
49,2.06
48,5.18
47,0.49
46,4.87
45,0.46
44,0.89
43,3.10
42,2.12
41,2.88
40,1.00
39,4.04
38,0.48
37,0.94
36,1.20
35,1.64
34,1.44
33,0.88
32,0.56
31,0.84
30,1.93
29,0.91
28,0.97
27,0.57
26,0.98
25,0.46
24,0.24
23,0.39
22,0.62
21,0.19
20,0.46
19,0.55
18,0.40
17,0.48
16,0.18
15,0.61
14,0.13
13,0.29
12,0.18
11,0.54
10,0.25
9,0.14
8,0.17
7,0.19
6,0.10
5,0.07
4,0.06
3,0.05
2,0.05
1,0.04
